Country_Name,Country Code,Region,Income_Group
Aruba,ABW,Sin Dato,Ingreso alto
Sin Dato,AFE,Sin Dato,Agregados
Afganistán,AFG,Asia meridional,Países de ingreso bajo
Sin Dato,AFW,Sin Dato,Agregados
Angola,AGO,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Albania,ALB,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Andorra,AND,Sin Dato,Ingreso alto
El mundo árabe,ARB,Sin Dato,Agregados
Emiratos Árabes Unidos,ARE,Sin Dato,Ingreso alto
Argentina,ARG,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Armenia,ARM,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Samoa Americana,ASM,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Antigua y Barbuda,ATG,Sin Dato,Ingreso alto
Australia,AUS,Sin Dato,Ingreso alto
Austria,AUT,Sin Dato,Ingreso alto
Azerbaiyán,AZE,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Burundi,BDI,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Bélgica,BEL,Sin Dato,Ingreso alto
Benin,BEN,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Burkina Faso,BFA,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Bangladesh,BGD,Asia meridional,Países de ingreso mediano bajo
Bulgaria,BGR,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Bahrein,BHR,Sin Dato,Ingreso alto
Bahamas,BHS,Sin Dato,Ingreso alto
Bosnia y Herzegovina,BIH,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Belarús,BLR,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Belice,BLZ,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Bermudas,BMU,Sin Dato,Ingreso alto
Bolivia,BOL,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Brasil,BRA,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Barbados,BRB,Sin Dato,Ingreso alto
Brunei Darussalam,BRN,Sin Dato,Ingreso alto
Bhután,BTN,Asia meridional,Países de ingreso mediano bajo
Botswana,BWA,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
República Centroafricana,CAF,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Canadá,CAN,Sin Dato,Ingreso alto
Europa Central y del Báltico,CEB,Sin Dato,Agregados
Suiza,CHE,Sin Dato,Ingreso alto
Islas del Canal,CHI,Sin Dato,Ingreso alto
Chile,CHL,Sin Dato,Ingreso alto
China,CHN,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Côte d'Ivoire,CIV,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Camerún,CMR,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Congo. República Democrática del,COD,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Congo. República del,COG,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Colombia,COL,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Comoras,COM,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Cabo Verde,CPV,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Costa Rica,CRI,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Estados pequeos del Caribe,CSS,Sin Dato,Agregados
Cuba,CUB,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Curacao,CUW,Sin Dato,Ingreso alto
Islas Caimán,CYM,Sin Dato,Ingreso alto
Chipre,CYP,Sin Dato,Ingreso alto
República Checa,CZE,Sin Dato,Ingreso alto
Alemania,DEU,Sin Dato,Ingreso alto
Djibouti,DJI,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Dominica,DMA,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Dinamarca,DNK,Sin Dato,Ingreso alto
República Dominicana,DOM,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Argelia,DZA,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Sin Dato,Agregados
inicial del dividendo demográfico,EAR,Sin Dato,Agregados
Asia oriental y el Pacífico ,EAS,Sin Dato,Agregados
Europa y Asia central (excluido altos ingresos),ECA,Sin Dato,Agregados
Europa y Asia central,ECS,Sin Dato,Agregados
Ecuador,ECU,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Egipto. República Árabe de,EGY,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Zona del Euro,EMU,Sin Dato,Agregados
Eritrea,ERI,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
España,ESP,Sin Dato,Ingreso alto
Estonia,EST,Sin Dato,Ingreso alto
Etiopía,ETH,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Unión Europea,EUU,Sin Dato,Agregados
Frágiles y situaciones de conflicto afectados,FCS,Sin Dato,Agregados
Finlandia,FIN,Sin Dato,Ingreso alto
Fiji,FJI,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Francia,FRA,Sin Dato,Ingreso alto
Islas Feroe,FRO,Sin Dato,Ingreso alto
Micronesia (Estados Federados de),FSM,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Gabón,GAB,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Reino Unido,GBR,Sin Dato,Ingreso alto
Georgia,GEO,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Ghana,GHA,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Gibraltar,GIB,Sin Dato,Ingreso alto
Guinea,GIN,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Gambia,GMB,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Guinea-Bissau,GNB,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Guinea Ecuatorial,GNQ,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Grecia,GRC,Sin Dato,Ingreso alto
Granada,GRD,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Groenlandia,GRL,Sin Dato,Ingreso alto
Guatemala,GTM,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Guam,GUM,Sin Dato,Ingreso alto
Guyana,GUY,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Ingreso alto,HIC,Sin Dato,Agregados
Hong Kong. Región Administrativa Especial,HKG,Sin Dato,Ingreso alto
Honduras,HND,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Países pobres muy endeudados (PPME),HPC,Sin Dato,Agregados
Croacia,HRV,Sin Dato,Ingreso alto
Haití,HTI,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Hungría,HUN,Sin Dato,Ingreso alto
Sólo BIRF,IBD,Sin Dato,Agregados
BIRF y la AIF,IBT,Sin Dato,Agregados
total de la AIF,IDA,Sin Dato,Agregados
mezcla de la AIF,IDB,Sin Dato,Agregados
Indonesia,IDN,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Sólo AIF,IDX,Sin Dato,Agregados
Isla de Man,IMN,Sin Dato,Ingreso alto
India,IND,Asia meridional,Países de ingreso mediano bajo
No clasificado,INX,Sin Dato,Agregados
Irlanda,IRL,Sin Dato,Ingreso alto
Irán. República Islámica del,IRN,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Iraq,IRQ,Oriente Medio y Norte de África (excluido altos ingresos),Ingreso mediano alto
Islandia,ISL,Sin Dato,Ingreso alto
Israel,ISR,Sin Dato,Ingreso alto
Italia,ITA,Sin Dato,Ingreso alto
Jamaica,JAM,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Jordania,JOR,Oriente Medio y Norte de África (excluido altos ingresos),Ingreso mediano alto
Japón,JPN,Sin Dato,Ingreso alto
Kazajstán,KAZ,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Kenya,KEN,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Kirguistán,KGZ,Europa y Asia central (excluido altos ingresos),Países de ingreso mediano bajo
Camboya,KHM,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Kiribati,KIR,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Saint Kitts y Nevis,KNA,Sin Dato,Ingreso alto
Corea. República de,KOR,Sin Dato,Ingreso alto
Kuwait,KWT,Sin Dato,Ingreso alto
América Latina y el Caribe (excluido altos ingresos),LAC,Sin Dato,Agregados
República Democrática Popular Lao,LAO,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Líbano,LBN,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Liberia,LBR,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Libia,LBY,Oriente Medio y Norte de África (excluido altos ingresos),Ingreso mediano alto
Santa Lucía,LCA,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
América Latina y el Caribe ,LCN,Sin Dato,Agregados
Países menos desarrollados: clasificación de las Naciones Unidas,LDC,Sin Dato,Agregados
Países de ingreso bajo,LIC,Sin Dato,Agregados
Liechtenstein,LIE,Sin Dato,Ingreso alto
Sri Lanka,LKA,Asia meridional,Países de ingreso mediano bajo
Países de ingreso mediano bajo,LMC,Sin Dato,Agregados
Ingreso mediano y bajo,LMY,Sin Dato,Agregados
Lesotho,LSO,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
avanzada del dividendo demográfico,LTE,Sin Dato,Agregados
Lituania,LTU,Sin Dato,Ingreso alto
Luxemburgo,LUX,Sin Dato,Ingreso alto
Letonia,LVA,Sin Dato,Ingreso alto
Región Administrativa Especial de Macao. China,MAC,Sin Dato,Ingreso alto
Isla de San Martín (parte francesa),MAF,Sin Dato,Ingreso alto
Marruecos,MAR,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Mónaco,MCO,Sin Dato,Ingreso alto
